others,url,v_news_content,title
"发布日期：2020-05-28    作者：     来源：党委宣传部
        点击：",http://www.gxstnu.edu.cn/info/1024/10195.htm,"5月28日，学校召开新冠肺炎疫情防控工作领导小组和开学工作领导小组全体成员会议，布置开展疫情防控漏洞排查及整改工作。学校领导陈贵英、张鹏、吴江萍、陈翔、蓝海、梁梅、胡国强及领导小组全体成员参加会议。会议由张鹏校长主持。,张鹏校长在会上传达了自治区教育厅新冠肺炎疫情防控工作调度会议精神。同时指出，当前我国新冠肺炎疫情防控工作虽然已经从应急状态转为常态化，但是，“外防输入、内防反弹”疫情防控策略和常态化疫情防控措施要持续加强。要认真贯彻落实自治区教育厅新冠肺炎疫情防控工作调度会议精神，切实抓好疫情防控漏洞排查和整改工作。张校长要求，,认真履职尽责。各领导小组及工作组，要认真履行疫情防控工作职责，确保疫情防控工作和中心工作两不误、双促进；,开展漏洞排查。围绕封闭管理、晨午晚检、佩戴口罩、日报告和零报告、居家观察、隔离观察等工作开展认真细致的排查；,责任落实到人。学校、学院、班级、宿舍等每个层面都要做到责任落实到人，持续筑牢多层次、立体化的防控体系。,学校党委书记陈贵英在会上强调，新冠肺炎疫情防控工作从应急状态转为常态化的局面来之不易，要巩固成果并最后打赢疫情防控阻击战，必须持续强化疫情防控工作的各项措施。,思想不能松懈。坚决克服侥幸心理，时刻绷紧疫情防控这根弦，不麻痹、不厌战、不松劲，认真堵住漏洞，严防疫情在校园暴发。,管理不能松动。各单位、各部门要管好自己的人、看好自己的门，落实各项措施，强化校门管理，严格履行外出审批制度；持续抓好日报告、零报告工作，做好晨午晚体温检测。,排查不留死角。第一批学生返校复学至今已有一个多月时间，学校平稳度过，教育教学工作紧张有序地进行，但一些疫情防控措施容易出现弱化，要认真按照自治区教育厅的要求，开展一次全方位的漏洞大排查，并及时抓好整改落实，确保师生员工生命安全和身体健康。",【疫情防控】学校布置疫情防控漏洞排查及整改工作
"发布日期：2020-06-10    作者：韦清燕     来源：科研管理处
        点击：",http://www.gxstnu.edu.cn/info/1024/10232.htm,"6月9日下午，自治区科协党组成员、副主席何求一行2人到我校开展全民科学素质调研工作，来宾市科协党组书记、主席潘毅华陪同调研。我校副校长、科协主席李栋学热情接待了来访领导。,李栋学副校长代表学校对何求副主席一行到来表示热烈欢迎，并介绍了学校办学基本情况。何求副主席一行先后考察了我校“广西糖资源工程技术研究中心”“广西机器人高新技术企业孵化中心”等科研平台和科普基地。在考察中，李副校长向何求副主席介绍了我校科研平台和科普基地的建设情况、我校科协近年来开展的科普活动及参与广西全民科学素质提升活动有关情况。,何求副主席一行考察我校“广西糖资源工程技术研究中心”,何求副主席一行考察我校“广西机器人高新技术企业孵化中心”,何求副主席对我校科研平台、科普基地建设情况和大学生参与科学素质提升情况给予肯定。他指出，科学素质是公民素质的重要组成部分，2020年是我区全民科学素质提升的关键时期，需要引导大学生掌握基本的科学方法，树立科学思想，崇尚科学精神，在全社会营造讲科学、学科学、爱科学、用科学的浓厚氛围，为建设壮美广西、共圆复兴梦想做出新的更大贡献。,学校科研管理处及相关二级学院领导参与调研。",【图文】自治区科协副主席何求一行来校调研指导
"发布日期：2020-06-04    作者：姜稳     来源：党委学生工作部
        点击：",http://www.gxstnu.edu.cn/info/1024/10206.htm,"6月1日，我校邀请来宾市公安局来华公安分局副局长韦俊先，在图书馆学术报告厅开展防范电信诈骗及法制教育专题讲座。党委武装部部长黄元佗、各二级学院副书记、辅导员以及各学院学生代表近200人参加了讲座。讲座由党委学生工作部部长廖洪建主持。,讲座现场,韦俊先副局长向师生们介绍了电信诈骗防范的严峻形势。他指出，近年来，网络电信诈骗的形式越加多样化，校园是电信诈骗的重灾区。韦副局长通过学校近年来的电信诈骗案例向参会师生介绍了发生在大学生中常见的兼职刷单、冒充客服、冒充QQ熟人、游戏充值诈骗、校园贷、手机短信诈骗等电信诈骗类型，告诫同学们要时刻保持警惕意识，切勿轻信网络信息，树立理性消费观念，远离电信诈骗。来宾市公安局还发放了防范电信诈骗宣传页。,来宾市公安局来华公安分局副局长韦俊先作防范电信诈骗及法制教育专题讲座,发放宣传页,通过本次讲座，让同学们认识到了电信诈骗的相关知识，增强了应对各种电信诈骗的防范意识。",【图文】学校举办防范电信诈骗及法制教育专题讲座
"发布日期：2020-06-04    作者：杨新士     来源：党委宣传部
        点击：",http://www.gxstnu.edu.cn/info/1024/10207.htm,"6月3日上午，广西建工建筑安装技工学校党支部副书记、副校长何志敏一行7人到我校交流学习。学校副校长蓝海以及相关部门负责人在科教楼7楼会议室与何志敏一行就后勤服务管理、学生管理等方面进行了座谈交流。,座谈会现场",【图文】广西建工建筑安装技工学校领导到我校交流学习
"发布日期：2020-05-29    作者：韦贵方     来源：党委组织部
        点击：",http://www.gxstnu.edu.cn/info/1024/10196.htm,"5月25日至27日，学校党委副书记陈翔到融水县我校定点帮扶的田里村、枫木村、甲烈村调研指导脱贫攻坚工作。党委组织部、机械与电气工程学院有关人员陪同调研。,陈翔副书记到村后，与驻村工作队员们进行交流座谈，详细询问当前脱贫攻坚工作进展情况、存在困难以及下一步的打算。座谈会上，陈翔副书记强调，今年是决战决胜脱贫攻坚收官之年，驻村工作队员们要铆足劲头，一鼓作气，以高度的政治责任感和使命感全力以赴地投入到脱贫攻坚工作中，打一个漂亮的收官之战。陈翔副书记十分关心工作队员的安全问题，实地查看驻村工作队员们的饮食起居环境，了解他们生活上的需要和困难，并叮嘱驻村工作队员们注意道路交通安全、食品卫生安全、消防安全等，特别在雨季和汛期，要注意防范自然灾害。,陈翔副书记在甲烈村与驻村工作队员座谈,陈翔副书记在枫木村调研指导脱贫攻坚工作,陈翔副书记在田里村调研指导脱贫攻坚工作",【图文】陈翔副书记到学校帮扶贫困村调研指导脱贫攻坚工作
"发布日期：2020-06-14    作者：杨新士     来源：党委宣传部
        点击：",http://www.gxstnu.edu.cn/info/1024/10222.htm," ,秀气的脸庞，谦和的语气，再加上一幅黑框近视眼镜，标识了这位年轻帅气小伙的书生身份。他叫姚彬彬，家在有“万里长江此封喉，吴楚分疆州”之称的安徽省安庆市，是我校数学与计算机科学学院2016级计算机科学与技术（云计算方向）专业本科毕业班学生。或许是坐落在安徽省合肥市的中国科学技术大学对“鱼米之乡”的倾情回报，或许是姚彬彬同学自幼就受这所人才辈出的学府深深吸引，他，即将迈进中国科学技术大学的大门，成为这所学府软件学院电子信息专业2020级研究生，他也成为我校第一位考取985高校研究生的优秀本科毕业生！,然而，光环的背后，是一条充满酸甜苦辣的考研之路……,初见姚彬彬，就被他的坦诚所吸引。“在大学四年与同学关系相处融洽，自己就是平平凡凡的普通人，也没有拿过什么大奖，但学习成绩一直都排在班级前几名。”他这样评价自己的大学生活。谈起为什么会选择考研，“不甘心”，他坚定地说。“在高中平时成绩都很好，由于高考没有发挥好，第一目标没有如愿实现。但是，自己考上了普通的二本学校，自己感觉也不比考上一本的同学差。另一方面，想去个更高水平的大学继续提升自己，圆自己的梦想。”其实，在姚彬彬心中始终都有个名校情结。“当时自己确定了考研目标就是985高校，认真分析了自己的实际情况之后，认为考上中国科学技术大学的机会比较大，这所学校是坐落在家乡的高校，更是我国的名校，所以最终确定了考研目标”。人生虽有暂时的失意，他始终不甘屈从于命运的安排，坚韧不拔，锲而不舍，最终实现了自己的心愿。,谈到学习方法时，姚彬彬说：“我以前的学习方法，就是不停地刷题、赶进度，总认为题做得越多，成绩肯定就越好，却不知道去反思、去总结。结果是花费大量的时间和精力在做无用功，学了忘，忘了学，学习效果很不理想。我慢慢地总结，认为合理的、科学的学习方法是‘输入加工—构建体系—内化记忆—输出反馈’。这是个闭环过程，只有经过这个闭环过程，知识才能记忆更长久，内化成自己的知识体系”。他这样清晰明了地总结自己学习方法。“我们大多数同学都只是做到‘输入加工’这个步骤，学习就达不到想要的效果。在考研的时候，我反思了自己的学习方法，尽量的把这个闭环走完，我发现这个方法效果很明显。”同时，他也特别强调，“每个人都有适合自己的学习方法，别人的学习方法不一定适合你，在你探索到适合你的学习方法时，你坚定去做，只有做了，你才能得到反馈，再根据自己的反馈去矫正就行了。我看到挺多同学都是在寻找方法的路上越走越远，迟迟不肯自己先去做。”谈到这，姚彬彬说出了他最真实的感受：“人生不像做饭，不能等万事俱备了才下锅”。子曰：“学而不思则罔，思而不学则殆”。在学习的过程中，就是边做边思考，只有先行，然后才能获得知，学习就是知行合一的过程。,“其实很多同学在考研过程中都会出现学着学着就后劲不足的情况，刚开始下定决心考研，学习了一段时间，发现坚持不下去，觉得自己不行，然后就开始焦虑，在内心开始批判自己，这样的心态一直循环往复。”姚彬彬在谈到考研压力时说。考研是一场持久战，大部分的时间都是自己孤军奋战，在考研的过程中遇到迷茫和压力都是再正常不过的事情，最重要的是要学会调整心态。“人要学会接纳自己，我们大多数人都这样，我们不是神仙，不可能像个机器人一样，一直无脑学习。当你累的时候，就要去休息，等事后自责的时候，你告诉自己，要承认我们都是一个普通的人，会疲惫，也会偷懒，但既然确定了目标就要坚持，这样就会释怀很多了。你要允许自己有一段适当的放松的时候，不要把自己逼得太紧，放松过后坚持学就好了。”考研贵在持之以恒，要懂得劳逸结合，学习时候保持良好的精神，才能事半功倍。,“我比较自信，觉得自己一定行。”当问起他认为自己获胜的秘诀是什么，他坚定的说道。无论什么时候，就要对自己要有恒心，有自信心。面对准备考研的学弟学妹，他说，“学习要学会把握好时间、精力、注意力、目标、策略等关系，不要总是迷恋于网上的考研经验贴，决定了就要行动起来，确定目标一定要根据自己的实际，然后脚踏实地的去学习，把握好自己的节奏，注重学习效率。”姚彬彬鼓励学弟学妹们，“考研更多的靠自己自觉，学不下去，没有动力的话，可以找个复习程度相当的朋友互相激励，如果找不到这样的研友，累的时候就想想未来，对未来要有期待。在复习过程中，一定要注意及时回顾分析自己的问题，看看“时间、精力、注意力、目标、策略”中哪个部分没有做好就去想办法改善，在考研的过程中会出现各种影响自己的事情，应该把最主要的精力放在学习上，考研很可能是你人生的另一个转折点，其它的事情都可以先放一放。其实考研没有捷径，哪有什么一夜成名，不过是百炼成钢。希望越来越多的学弟学妹们能够考上自己心仪的学府研究生。,“大学四年时光转瞬即逝，感谢母校培养了我、成就了我，祝愿母校兴旺发达”。在即将结束采访时，姚彬彬深情地说。,在与姚彬彬同学的交流中，笔者深感他腼腆的外表下有着强大的自信心，思路清晰又冷静从容，让人为其内心之强大与信念之坚定所折服。考研是持之以恒的过程，要脚踏实地，明确自己的目标，要永远自信，永不放弃，机会终会降临,奋斗终会成功、终会迎来开花结果。姚彬彬同学为我校许许多多树立考研目标的学生做了榜样。我们坚信，他在求学路上一定会学有所成、成就未来。",【榜样人物】筑梦前行 不负韶华——数学与计算机科学学院姚彬彬同学的考研心路
"发布日期：2020-06-10    作者：韦贵方　     来源：党委组织部
        点击：",http://www.gxstnu.edu.cn/info/1024/10231.htm,"6月10日上午，学校在图书馆学术报告厅召开校领导班子和领导干部2019年度考核测评会。自治区党委组织部干部五处主任科员梁达政出席会议，在家的校领导陈贵英、张鹏、吴江萍、陈翔、梁梅、李栋学、胡国强，校长助理宋启军及全体中层正职干部、正高级职称人员参加会议。会议由校党委书记陈贵英主持。,会议现场,陈贵英书记代表校领导班子对2019年工作进行了全面总结。陈书记指出，2019年，学校坚持以习近平新时代中国特色社会主义思想为指导，深入学习贯彻党的十九大和十九届二中、三中、四中全会精神，坚持社会主义办学方向，落实立德树人根本任务，各项事业取得显著成绩。特别是聚焦主题主线，开展“不忘初心、牢记使命”主题教育取得明显成效；深化改革，强化管理，学校办学水平和治理能力不断提升；加强党建与思想政治工作，为学校发展提供坚强保证；严格标准选人用人，干部选拔任用工作质量不断提高。学校各项工作迈向新的台阶。,陈贵英书记作报告,学校领导班子成员围绕中心工作，结合各自分工，对一年来履职情况进行了书面述职述廉。与会人员根据学校领导班子和成员的述职报告及日常工作，以无记名的方式进行测评。, , ",【图文】学校召开校领导班子和领导干部2019年度考核测评会
"发布日期：2020-06-10    作者：何正开     来源：数学与计算机科学学院
        点击：",http://www.gxstnu.edu.cn/info/1024/10233.htm,"6月9日下午，数学与计算机科学学院在理科楼502会议室召开2020年计算机类专业人才培养方案校企论证会。学院邀请了中科曙光、中关村软件园、大连东软教育科技集团、360教育事业部、深圳华清远见科技发展有限公司、甲骨文OAEC人才产业基地等单位共10位企业（行业）专家参加论证会。学校副校长梁梅出席会议，教务处处长林翠英、职业技术教育学院院长黄良永及数计学院相关领导、计算机类全体教师参加会议。会议由学院院长吴建生主持。,会议现场,会上，梁梅副校长代表学校对各位行业专家到来表示热烈欢迎，并简要介绍了学校的校企合作情况，希望专家们多提宝贵意见，对计算机类专业人才培养方案进行优化与完善，把学校和企业合作的优势凸现出来，做成特色专业。,梁梅副校长讲话,计算机类4个专业教研室主任重点就2020年人才培养方案关于课程体系架构等情况向专家请教。专家组就各专业人才培养方案围绕计算机类课程的课程设置、理论与实践创新教学等方面的问题进行研讨和交流，并对各专业人才培养方案的修改完善提出了宝贵的意见建议。还就如何在人才培养方案中组建课程模块，强化实践教学环节，加强人文教育等提出了建设性意见。,吴建生院长表示，学院将认真落实本次论证会上专家的意见，依据学校应用型人才培养目标，加强校企合作，协同育人，结合学院实际认真研究、吸纳专家建议，对接计算机类人才需求，切实做好2020人才培养方案的修订工作。",【图文】数学与计算机科学学院召开2020年计算机类专业人才培养方案校企论证会
"发布日期：2020-06-08    作者：党委组织部     来源：梁玉莹
        点击：",http://www.gxstnu.edu.cn/info/1024/10221.htm,"6月5日下午，我校在科教楼6楼会议室召开2020年党建工作例会暨基层党建工作推进会。学校党委副书记陈翔出席并讲话，党委组织部（党委统战部）、党委宣传部负责人以及各二级党委、党总支部负责人参加会议。,会议现场,会上，外国语学院党委、教育科学学院党委、机械与电气工程学院党总支部分别就如何推进基层党组织标准化规范化建设和“党建+”引领工程进行交流发言；党委组织部（统战部）部长张庆武通报了我校基层党建工作存在的主要问题和下一步工作计划；党委宣传部部长潘兴明通报了意识形态和宗教排查有关情况并进行了分析研判。,陈翔副书记在听取汇报后作了讲话。陈副书记肯定了外国语学院党委等3个二级党组织在基层党建工作方面取得的成绩，并指出了存在的问题与不足，鼓励其他二级单位党组织要相互学习、借鉴。陈副书记要求，一要对基层党建工作中关于党建工作责任落实、议事决策制度、基层党组织标准化规范化建设、“党建+”引领工程、严格党内组织生活制度、党务工作者队伍建设、发展党员工作等7个方面存在的薄弱环节，全力补齐短板弱项；二要压实意识形态责任和守好意识形态阵地，切实维护学校意识形态安全；三要强化党建工作责任落实、突出工作重点、创新工作举措、建强党务队伍。,陈翔副书记讲话",【图文】学校召开2020年党建工作例会暨基层党建工作推进会
"发布日期：2020-06-16    作者：杨新士     来源：党委宣传部
        点击：",http://www.gxstnu.edu.cn/info/1024/10245.htm,"6月16日上午，学校在科教楼七楼会议室召开2020年安全工作会议暨“安全生产月”宣传教育启动仪式。学校副校长蓝海出席并讲话，各行政教辅部门、二级学院主要负责人参加会议。,会议现场,会上，保卫处处长黄元佗通报了学校2019年安全工作情况，并传达了学校开展2020年“安全生产月”和“安全生产八桂行”活动安排。各相关部门负责人结合工作实际，汇报了各方面存在的安全风险点以及防范建议。,蓝海副校长在认真听取汇报后作了讲话。蓝副校长强调，一要把校园安全工作作为各项工作的重中之重，加强组织领导，加大宣传教育力度，增强安全责任意识；二要认真开展安全生产监督检查，结合学校工作实际，把各项防范措施抓紧、抓实、抓好，切实落到实处；三要及时防范和化解各类安全风险，排查安全工作隐患做到不留盲点，不出漏洞，整改工作及时到位；四要认真执行学校安全工作部署，全面深入地开展“安全生产月”和“安全生产八桂行”系列活动，确保校园稳定和师生安全。,蓝海副校长讲话",【图文】学校召开2020年安全工作会议暨“安全生产月”宣传教育启动仪式
